Kaggle Dataset Name,Kaggle Dataset URL,Kaggle Size (MB),Original Dataset Name,Orginal Dataset URL,Original Size (MB),Size Difference (%)
ISIC 2019 Skin Lesion images for classification,https://www.kaggle.com/salviohexia/isic-2019-skin-lesion-images-for-classification,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
ISIC-2017,https://www.kaggle.com/johnchfr/isic-2017,12288.0,ISIC 2017 Challenge,https://challenge.isic-archive.com/data/#2017,12708.0,3.31
ISIC 2019 ,https://www.kaggle.com/graf10a/isic-2019,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
ISIC 2019 7 classes,https://www.kaggle.com/gabrielmv/isic-2019-7-classes,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
SIIM-ISIC-2020,https://www.kaggle.com/prashantjeswani/siimisic2020,23552.0,ISIC 2020 Challenge,https://challenge.isic-archive.com/data/#2020,29700.0,20.7
ISIC 2017/2018,https://www.kaggle.com/rychardguedes/isic-20172018,14336.0,ISIC 2017 Challenge,https://challenge.isic-archive.com/data/#2017,12708.0,12.81
ISIC-2018,https://www.kaggle.com/trantoanthang/isic-2018,13312.0,ISIC 2018 Challenge,https://challenge.isic-archive.com/data/#2018,15880.0,16.17
SIIM-ISIC-2019,https://www.kaggle.com/prashantjeswani/siim-isic-2019,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
"ISIC-2019 skin disease dataset (test ,train, val)",https://www.kaggle.com/mdefajalam/isic-2019-skin-disease,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
ISIC 2017 Original Dataset,https://www.kaggle.com/mahmudulhasantasin/isic-2017-original-dataset,12288.0,ISIC 2017 Challenge,https://challenge.isic-archive.com/data/#2017,12708.0,3.31
SIIM-ISIC 2020 Melanoma Dataset (10 Folds Split),https://www.kaggle.com/scipygaurav/siimisic-2020-melanoma-dataset-10-folds-split,23552.0,ISIC 2020 Challenge,https://challenge.isic-archive.com/data/#2020,29700.0,20.7
ISIC Challenge Dataset-2020,https://www.kaggle.com/sumaiyabinteshahid/isic-challenge-dataset-2020,30720.0,ISIC 2020 Challenge,https://challenge.isic-archive.com/data/#2020,29700.0,3.43
ISIC 2019,https://www.kaggle.com/rid1dle/isic-2019,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
ISIC 2020,https://www.kaggle.com/abdulrehmanraja/isic-2020,23552.0,ISIC 2020 Challenge,https://challenge.isic-archive.com/data/#2020,29700.0,20.7
ISIC 2019 - train - valid - tst,https://www.kaggle.com/eduardomorais/isic-2019-train-valid-tst,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
ISIC 2017 Task 3 Dataset,https://www.kaggle.com/srijankundu/isic-2017-task-3-dataset,12288.0,ISIC 2017 Challenge,https://challenge.isic-archive.com/data/#2017,12708.0,3.31
ISIC 2019 JPEG,https://www.kaggle.com/rickmondal/isic-2019-jpeg,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
skincancer-ISIC-2019,https://www.kaggle.com/viveknarayanuppala/skincancer-isic-2019,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
ISIC skin lesion dataset 2016,https://www.kaggle.com/sahiliitj/isic-skin-lesion-dataset-2016,3072.0,ISIC 2016 Challenge,https://challenge.isic-archive.com/data/#2016,4219.0,27.19
isic 2019 and 2020 Melanoma dataset hair addition,https://www.kaggle.com/qikangdeng/isic-2019-and-2020-melanoma-dataset-hair-addition,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
ISIC 2020,https://www.kaggle.com/shakiburrahmanasif/isic-2020,32768.0,ISIC 2020 Challenge,https://challenge.isic-archive.com/data/#2020,29700.0,10.33
ISIC - 2019,https://www.kaggle.com/karoladel/isic-2019,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
ISIC 2018 Task 2: Lesion Attribute Detection,https://www.kaggle.com/thanhngnguyn/isic-2018-task-2-lesion-attribute-detection,13312.0,ISIC 2018 Challenge,https://challenge.isic-archive.com/data/#2018,15880.0,16.17
ISIC-2019 skin disease labelled dataset ( 8 cls),https://www.kaggle.com/mdefajalam/isic-2019-skin-disease-labelled,9216.0,ISIC 2019 Challenge,https://challenge.isic-archive.com/data/#2019,12700.0,27.43
isic 2020 new,https://www.kaggle.com/shakibrahman15/isic-2020-new,23552.0,ISIC 2020 Challenge,https://challenge.isic-archive.com/data/#2020,29700.0,20.7
ISIC-2018-CLEAN,https://www.kaggle.com/quanghungdang/isic-2018,11264.0,ISIC 2018 Challenge,https://challenge.isic-archive.com/data/#2018,15880.0,29.07
ISIC 2016 ORIGINAL DATASET 5 FOLDED WITH LABEL,https://www.kaggle.com/mahmudulhasantasin/isic-2016-original-dataset-5-folded-with-label,3072.0,ISIC 2016 Challenge,https://challenge.isic-archive.com/data/#2016,4219.0,27.19
