Dataset_Duplicate,Subfolder_Duplicate,FilePath_Duplicate,FileName_Duplicate,FileHash,Dataset_Original,Subfolder_Original,FilePath_Original,FileName_Original
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0021955.jpg,ISIC_0021955.jpg,0bb39cdf38bcaf38a402f8d523c08140,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0021955.jpg,ISIC_0021955.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0015366.jpg,ISIC_0015366.jpg,f90ad2da3596feddde1d28135eacdb2c,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0015366.jpg,ISIC_0015366.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0022247.jpg,ISIC_0022247.jpg,e8837e429175ed48fdc71e84590f4c73,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0022247.jpg,ISIC_0022247.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0023159.jpg,ISIC_0023159.jpg,6be30d2d45d896bed3fd793e910e6ddf,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0023159.jpg,ISIC_0023159.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036232.jpg,ISIC_0036232.jpg,33b6d0a3d0c25e3e1ba2ed87bd29fe3c,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036232.jpg,ISIC_0036232.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0015399.jpg,ISIC_0015399.jpg,bc450af051d0b466a43597274f535c36,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0015399.jpg,ISIC_0015399.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036226.jpg,ISIC_0036226.jpg,043080fbf99c527c6e3665ca64ce7713,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036226.jpg,ISIC_0036226.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0014905.jpg,ISIC_0014905.jpg,9c12f5a50ab077de334cf179d7422900,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0014905.jpg,ISIC_0014905.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0020849.jpg,ISIC_0020849.jpg,7fb953cf15e1d12c33cf74ed6c12678a,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0020849.jpg,ISIC_0020849.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0019992.jpg,ISIC_0019992.jpg,03f68594890032aeee61fe10587c3133,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0019992.jpg,ISIC_0019992.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0015602.jpg,ISIC_0015602.jpg,1d0e94f1b5df536e3834f21753f601e4,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0015602.jpg,ISIC_0015602.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0021558.jpg,ISIC_0021558.jpg,d9a32abe92265d9b9d9235dbe576f54b,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0021558.jpg,ISIC_0021558.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0021570.jpg,ISIC_0021570.jpg,b7f7d4186853281bf66c9908609f50f2,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0021570.jpg,ISIC_0021570.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036187.jpg,ISIC_0036187.jpg,752af8cae911a9c38989d91e1dfac295,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036187.jpg,ISIC_0036187.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036193.jpg,ISIC_0036193.jpg,30a241dc42eb959ac38431ecb6c36d6f,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036193.jpg,ISIC_0036193.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0019170.jpg,ISIC_0019170.jpg,26b2ac7f18ac3a9bf9488a4145725b69,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0019170.jpg,ISIC_0019170.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036144.jpg,ISIC_0036144.jpg,748a44796ecb2881f3ac0176a9e1a805,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036144.jpg,ISIC_0036144.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036150.jpg,ISIC_0036150.jpg,afe17aa8e0b77e577be64cd2a65674b3,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036150.jpg,ISIC_0036150.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0023575.jpg,ISIC_0023575.jpg,080fb61a9a73490a8c1b8647f268da67,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0023575.jpg,ISIC_0023575.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036178.jpg,ISIC_0036178.jpg,7fc1b489334b736e5615ea1b28b70243,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036178.jpg,ISIC_0036178.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0023207.jpg,ISIC_0023207.jpg,2474050d3949d0409ae047f01179078f,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0023207.jpg,ISIC_0023207.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0019366.jpg,ISIC_0019366.jpg,6d32ef026dd11fb302c187447bf32cd2,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0019366.jpg,ISIC_0019366.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0017411.jpg,ISIC_0017411.jpg,c12d7e6a72527e79b883c74daf590385,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0017411.jpg,ISIC_0017411.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036346.jpg,ISIC_0036346.jpg,99053993dbe32644c2062f807762e140,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036346.jpg,ISIC_0036346.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0012596.jpg,ISIC_0012596.jpg,a334fcdce59b18d5b880d6401d42939d,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0012596.jpg,ISIC_0012596.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0021160.jpg,ISIC_0021160.jpg,3f6d5b1613813e5406d67ca281ad3d5f,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0021160.jpg,ISIC_0021160.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0023762.jpg,ISIC_0023762.jpg,98bbb3e3c4416fac60ac1a75024f698e,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0023762.jpg,ISIC_0023762.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0020531.jpg,ISIC_0020531.jpg,ab8c82a48a4b2c7891f4b159dfda741f,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0020531.jpg,ISIC_0020531.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0017389.jpg,ISIC_0017389.jpg,a8bbfe35c4362015496a15d9ed9cf546,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0017389.jpg,ISIC_0017389.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036347.jpg,ISIC_0036347.jpg,31b70aa9c5276c55ecf3afbb1cada52d,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036347.jpg,ISIC_0036347.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0016726.jpg,ISIC_0016726.jpg,0783b0a02acbf72683e3b71e964d6c8d,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0016726.jpg,ISIC_0016726.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0018290.jpg,ISIC_0018290.jpg,146245e92fed3f4e66d6c59693436e79,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0018290.jpg,ISIC_0018290.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036179.jpg,ISIC_0036179.jpg,26326854db1b18e5b758609c7d69f4eb,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036179.jpg,ISIC_0036179.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036151.jpg,ISIC_0036151.jpg,b267063ee1b9253676149e4fba842532,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036151.jpg,ISIC_0036151.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036145.jpg,ISIC_0036145.jpg,454ccfde3c6fedd3e03aaa8bd279ecd6,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036145.jpg,ISIC_0036145.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0018535.jpg,ISIC_0018535.jpg,1698a59dedaf6d3b5c18f0b0994c2ea7,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0018535.jpg,ISIC_0018535.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036192.jpg,ISIC_0036192.jpg,14409fd8046ea4bdebaab6c3d7bcca3d,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036192.jpg,ISIC_0036192.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0016524.jpg,ISIC_0016524.jpg,b27e096d6516d60da6e359f8fbeb6d14,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0016524.jpg,ISIC_0016524.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036186.jpg,ISIC_0036186.jpg,e9372cd41d7daca42ca00f0bf7941a6a,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036186.jpg,ISIC_0036186.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0023366.jpg,ISIC_0023366.jpg,fbf5e81f0ef8349c95342c816add24c7,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0023366.jpg,ISIC_0023366.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0021559.jpg,ISIC_0021559.jpg,aef2b395edc8d37562dfe682265485ad,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0021559.jpg,ISIC_0021559.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0022736.jpg,ISIC_0022736.jpg,a36169a563570cedcb79acc386efc4e7,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0022736.jpg,ISIC_0022736.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0020135.jpg,ISIC_0020135.jpg,243c3dad8aebad802b41758785db74ea,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0020135.jpg,ISIC_0020135.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0022044.jpg,ISIC_0022044.jpg,9ac1633cc7401224e6b362e624ce6bed,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0022044.jpg,ISIC_0022044.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0020860.jpg,ISIC_0020860.jpg,00de8197f55f5ffc1d2fce4754ee865e,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0020860.jpg,ISIC_0020860.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0015165.jpg,ISIC_0015165.jpg,53308b99ba7d98f5506938a30d578b90,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0015165.jpg,ISIC_0015165.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0020479.jpg,ISIC_0020479.jpg,28285abe65129eb826b6b0e9f6fd6e5f,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0020479.jpg,ISIC_0020479.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0023164.jpg,ISIC_0023164.jpg,70a9c04e92c3fb6dec055a19db7e43cc,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0023164.jpg,ISIC_0023164.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0015398.jpg,ISIC_0015398.jpg,69451634aebe30a812f89e7774d7a96b,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0015398.jpg,ISIC_0015398.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036227.jpg,ISIC_0036227.jpg,5224d5b0d0c0efe82fc7bde131691f73,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036227.jpg,ISIC_0036227.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0036233.jpg,ISIC_0036233.jpg,6707d4c70112d1cfe4fea545d030115b,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0036233.jpg,ISIC_0036233.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0023158.jpg,ISIC_0023158.jpg,21c758fb97b8120366e753b920918fdf,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0023158.jpg,ISIC_0023158.jpg
ISIC-2018,test,../data/duplicate_data/ISIC-2018/test/ISIC_0021940.jpg,ISIC_0021940.jpg,13e9462424b79560aaa06d43af139cbc,ISIC-2018-Challenge,test,../data/original_data/ISIC-2018-Challenge/test/ISIC_0021940.jpg,ISIC_0021940.jpg
