Filename,Dimension Duplicate,Dimension Original
ISIC_0011397.jpg,"(1024, 768)","(1024, 768)"
ISIC_0011204.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010599.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013671.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0010444.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013487.jpg,"(2304, 1536)","(2304, 1536)"
ISIC_0012453.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014920.jpg,"(6668, 4439)","(6668, 4439)"
ISIC_0010191.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012792.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014346.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0011348.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012888.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000341.jpg,"(767, 576)","(767, 576)"
ISIC_0000002.jpg,"(1022, 767)","(1022, 767)"
ISIC_0014066.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000098.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0013071.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0015170.jpg,"(6688, 4439)","(6688, 4439)"
ISIC_0011098.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010480.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000031.jpg,"(1504, 1129)","(1504, 1129)"
ISIC_0000101.jpg,"(2272, 1704)","(2272, 1704)"
ISIC_0013000.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0014933.jpg,"(6688, 4399)","(6688, 4399)"
ISIC_0000479.jpg,"(919, 802)","(919, 802)"
ISIC_0014726.jpg,"(6641, 4440)","(6641, 4440)"
ISIC_0000410.jpg,"(2313, 1985)","(2313, 1985)"
ISIC_0014136.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0015110.jpg,"(6681, 4401)","(6681, 4401)"
ISIC_0000503.jpg,"(919, 802)","(919, 802)"
ISIC_0010236.jpg,"(1024, 768)","(1024, 768)"
ISIC_0011121.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014004.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0013425.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014431.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0001102.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0008236.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0002439.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0012391.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000495.jpg,"(919, 802)","(919, 802)"
ISIC_0012526.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012986.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0013747.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000354.jpg,"(767, 576)","(767, 576)"
ISIC_0010864.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000415.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0000182.jpg,"(1502, 1051)","(1502, 1051)"
ISIC_0011322.jpg,"(1024, 768)","(1024, 768)"
ISIC_0009958.jpg,"(1024, 768)","(1024, 768)"
ISIC_0009564.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013213.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000297.jpg,"(767, 576)","(767, 576)"
ISIC_0012148.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000466.jpg,"(919, 802)","(919, 802)"
ISIC_0012704.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000246.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013572.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013177.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0011158.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000242.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013430.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014708.jpg,"(6622, 4421)","(6622, 4421)"
ISIC_0000159.jpg,"(965, 724)","(965, 724)"
ISIC_0000061.jpg,"(1504, 1129)","(1504, 1129)"
ISIC_0014724.jpg,"(6582, 4382)","(6582, 4382)"
ISIC_0000133.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0000140.jpg,"(2816, 2112)","(2816, 2112)"
ISIC_0000482.jpg,"(919, 802)","(919, 802)"
ISIC_0012879.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0008347.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012442.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0009911.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000240.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014397.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000300.jpg,"(767, 576)","(767, 576)"
ISIC_0013921.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0015219.jpg,"(6640, 4441)","(6640, 4441)"
ISIC_0000121.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0010854.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010185.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000506.jpg,"(919, 802)","(919, 802)"
ISIC_0013335.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014699.jpg,"(6581, 4402)","(6581, 4402)"
ISIC_0014581.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0010552.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014812.jpg,"(6642, 4422)","(6642, 4422)"
ISIC_0012175.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0004985.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000403.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0012268.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000292.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012952.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000205.jpg,"(1502, 1026)","(1502, 1026)"
ISIC_0012378.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0010249.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012740.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014763.jpg,"(6642, 4421)","(6642, 4421)"
ISIC_0012891.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014593.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0000528.jpg,"(1008, 711)","(1008, 711)"
ISIC_0012987.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0010368.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014848.jpg,"(6628, 4419)","(6628, 4419)"
ISIC_0014253.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000141.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0000358.jpg,"(767, 576)","(767, 576)"
ISIC_0000343.jpg,"(767, 576)","(767, 576)"
ISIC_0014696.jpg,"(6648, 4459)","(6648, 4459)"
ISIC_0013346.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014299.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0011292.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000253.jpg,"(576, 768)","(576, 768)"
ISIC_0014571.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0010247.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014545.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000118.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0010201.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012944.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0009930.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014890.jpg,"(6715, 4457)","(6715, 4457)"
ISIC_0009344.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0015189.jpg,"(6668, 4439)","(6668, 4439)"
ISIC_0013163.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0011082.jpg,"(1024, 768)","(1024, 768)"
ISIC_0009931.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014372.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000320.jpg,"(767, 576)","(767, 576)"
ISIC_0010334.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012164.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014264.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0010856.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010492.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000431.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0000324.jpg,"(767, 576)","(767, 576)"
ISIC_0013499.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0011112.jpg,"(1024, 768)","(1024, 768)"
ISIC_0007557.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0000476.jpg,"(919, 802)","(919, 802)"
ISIC_0000369.jpg,"(767, 576)","(767, 576)"
ISIC_0013310.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0011349.jpg,"(1024, 768)","(1024, 768)"
ISIC_0006940.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000016.jpg,"(1022, 767)","(1022, 767)"
ISIC_0010863.jpg,"(1024, 768)","(1024, 768)"
ISIC_0009998.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000323.jpg,"(767, 576)","(767, 576)"
ISIC_0011145.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013184.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0009919.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014099.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012696.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000077.jpg,"(1504, 1129)","(1504, 1129)"
ISIC_0013695.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012224.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014667.jpg,"(6688, 4459)","(6688, 4459)"
ISIC_0012854.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0010192.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013799.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014638.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0013797.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0000433.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0000382.jpg,"(2314, 2067)","(2314, 2067)"
ISIC_0014904.jpg,"(6668, 4439)","(6668, 4439)"
ISIC_0013713.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0010467.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010448.jpg,"(1024, 768)","(1024, 768)"
ISIC_0009987.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000018.jpg,"(1504, 1129)","(1504, 1129)"
ISIC_0012406.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012348.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0012284.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000387.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0013329.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012217.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014839.jpg,"(6622, 4441)","(6622, 4441)"
ISIC_0012663.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0012939.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0000172.jpg,"(962, 674)","(962, 674)"
ISIC_0007475.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0015200.jpg,"(6661, 4422)","(6661, 4422)"
ISIC_0013079.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000515.jpg,"(919, 802)","(919, 802)"
ISIC_0000258.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010365.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000329.jpg,"(767, 576)","(767, 576)"
ISIC_0011366.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010585.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014081.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013243.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0012871.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0000255.jpg,"(1024, 768)","(1024, 768)"
ISIC_0008552.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013200.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000456.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0000448.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0013489.jpg,"(2304, 1536)","(2304, 1536)"
ISIC_0000221.jpg,"(962, 671)","(962, 671)"
ISIC_0011140.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000523.jpg,"(919, 802)","(919, 802)"
ISIC_0013390.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0011227.jpg,"(1024, 768)","(1024, 768)"
ISIC_0011384.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012880.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014951.jpg,"(6687, 4439)","(6687, 4439)"
ISIC_0013094.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0012259.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013927.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014325.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0011205.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012150.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014754.jpg,"(6648, 4399)","(6648, 4399)"
ISIC_0005787.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0010036.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013394.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000259.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010021.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012363.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013579.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013721.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014453.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014174.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014805.jpg,"(6661, 4461)","(6661, 4461)"
ISIC_0000490.jpg,"(919, 802)","(919, 802)"
ISIC_0012961.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014547.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0003346.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013432.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012338.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0009871.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013805.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0009906.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013961.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013417.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000283.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010367.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014410.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014026.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000458.jpg,"(919, 802)","(919, 802)"
ISIC_0000882.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0000201.jpg,"(1043, 705)","(1043, 705)"
ISIC_0000419.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0014291.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0010032.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014628.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0008541.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0008403.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0000540.jpg,"(824, 719)","(824, 719)"
ISIC_0010587.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014507.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014823.jpg,"(6622, 4441)","(6622, 4441)"
ISIC_0008600.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0000132.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0011300.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010064.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000392.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0000078.jpg,"(1504, 1129)","(1504, 1129)"
ISIC_0011097.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010088.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013220.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0010575.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014317.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013625.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013933.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000372.jpg,"(767, 576)","(767, 576)"
ISIC_0014092.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000507.jpg,"(1019, 717)","(1019, 717)"
ISIC_0000044.jpg,"(1504, 1129)","(1504, 1129)"
ISIC_0014925.jpg,"(6708, 4439)","(6708, 4439)"
ISIC_0009973.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000551.jpg,"(838, 614)","(838, 614)"
ISIC_0000447.jpg,"(2012, 1956)","(2012, 1956)"
ISIC_0014641.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0000278.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000364.jpg,"(767, 576)","(767, 576)"
ISIC_0014650.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0012666.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0006114.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0000243.jpg,"(576, 768)","(576, 768)"
ISIC_0014576.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0012962.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0013778.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012173.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0010015.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013052.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014908.jpg,"(6688, 4439)","(6688, 4439)"
ISIC_0013167.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0000104.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0014770.jpg,"(6682, 4382)","(6682, 4382)"
ISIC_0012940.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0000254.jpg,"(1024, 768)","(1024, 768)"
ISIC_0002879.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0014739.jpg,"(6688, 4439)","(6688, 4439)"
ISIC_0011136.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000331.jpg,"(767, 576)","(767, 576)"
ISIC_0013196.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0002453.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0013610.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000436.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0012699.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0013984.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014605.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0000022.jpg,"(1504, 1129)","(1504, 1129)"
ISIC_0013806.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0010333.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013802.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0012806.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0000393.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0012657.jpg,"(2304, 1536)","(2304, 1536)"
ISIC_0014654.jpg,"(2592, 1936)","(2592, 1936)"
ISIC_0000379.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0000483.jpg,"(919, 802)","(919, 802)"
ISIC_0014013.jpg,"(3008, 2000)","(3008, 2000)"
