Filename,Dimension Duplicate,Dimension Original
ISIC_0000556.jpg,"(824, 719)","(824, 719)"
ISIC_0015417.jpg,"(6748, 4439)","(6748, 4439)"
ISIC_0014029.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0013146.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0013966.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0013918.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000324.jpg,"(767, 576)","(767, 576)"
ISIC_0014543.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000109.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0012713.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0012484.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0010182.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000397.jpg,"(3072, 2304)","(3072, 2304)"
ISIC_0005187.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0000171.jpg,"(964, 720)","(964, 720)"
ISIC_0014805.jpg,"(6661, 4461)","(6661, 4461)"
ISIC_0011219.jpg,"(1024, 768)","(1024, 768)"
ISIC_0001204.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0014453.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014542.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0012658.jpg,"(2304, 1536)","(2304, 1536)"
ISIC_0014248.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014855.jpg,"(6628, 4419)","(6628, 4419)"
ISIC_0013155.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014983.jpg,"(6621, 4420)","(6621, 4420)"
ISIC_0000245.jpg,"(1024, 768)","(1024, 768)"
ISIC_0014489.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013982.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0011360.jpg,"(1024, 768)","(1024, 768)"
ISIC_0012187.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0016008.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0009201.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000342.jpg,"(767, 576)","(767, 576)"
ISIC_0009941.jpg,"(1024, 768)","(1024, 768)"
ISIC_0010602.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013096.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0013423.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0009188.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014913.jpg,"(6708, 4439)","(6708, 4439)"
ISIC_0000188.jpg,"(1502, 1036)","(1502, 1036)"
ISIC_0000163.jpg,"(965, 649)","(965, 649)"
ISIC_0010571.jpg,"(1024, 768)","(1024, 768)"
ISIC_0000016.jpg,"(1022, 767)","(1022, 767)"
ISIC_0000339.jpg,"(767, 576)","(767, 576)"
ISIC_0014818.jpg,"(6641, 4401)","(6641, 4401)"
ISIC_0008116.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0005620.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0013676.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000034.jpg,"(1504, 1129)","(1504, 1129)"
ISIC_0015256.jpg,"(6668, 4459)","(6668, 4459)"
ISIC_0001286.jpg,"(3024, 2016)","(3024, 2016)"
ISIC_0012179.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000170.jpg,"(722, 542)","(722, 542)"
ISIC_0013594.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014428.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000232.jpg,"(960, 645)","(960, 645)"
ISIC_0015950.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0014586.jpg,"(5184, 3456)","(5184, 3456)"
ISIC_0012516.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0014393.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0013159.jpg,"(3872, 2592)","(3872, 2592)"
ISIC_0009955.jpg,"(1024, 768)","(1024, 768)"
ISIC_0013275.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0011129.jpg,"(1024, 768)","(1024, 768)"
ISIC_0015150.jpg,"(6622, 4380)","(6622, 4380)"
ISIC_0015046.jpg,"(6641, 4422)","(6641, 4422)"
ISIC_0012303.jpg,"(3008, 2000)","(3008, 2000)"
ISIC_0000102.jpg,"(2048, 1536)","(2048, 1536)"
ISIC_0014419.jpg,"(4288, 2848)","(4288, 2848)"
ISIC_0000555.jpg,"(833, 680)","(833, 680)"
ISIC_0000506.jpg,"(919, 802)","(919, 802)"
ISIC_0013962.jpg,"(4288, 2848)","(4288, 2848)"
