Filename,Size Duplicate,Size Original
ISIC_0012883.jpg,3718238,3718238
ISIC_0010444.jpg,27750,27750
ISIC_0014440.jpg,3551893,3551893
ISIC_0013455.jpg,5136022,5136022
ISIC_0016058.jpg,5259617,5259617
ISIC_0012792.jpg,3026249,3026249
ISIC_0000123.jpg,1502890,1502890
ISIC_0014868.jpg,16643022,16643022
ISIC_0014157.jpg,3264494,3264494
ISIC_0011315.jpg,169811,169811
ISIC_0000211.jpg,51693,51693
ISIC_0012253.jpg,4330270,4330270
ISIC_0013833.jpg,7816088,7816088
ISIC_0000131.jpg,1192046,1192046
ISIC_0000004.jpg,49365,49365
ISIC_0015233.jpg,15667631,15667631
ISIC_0013071.jpg,2779419,2779419
ISIC_0015170.jpg,16146379,16146379
ISIC_0014349.jpg,4048273,4048273
ISIC_0010239.jpg,180894,180894
ISIC_0000031.jpg,106889,106889
ISIC_0009955.jpg,180677,180677
ISIC_0015936.jpg,1794477,1794477
ISIC_0013594.jpg,3641863,3641863
ISIC_0000101.jpg,770857,770857
ISIC_0014037.jpg,5669410,5669410
ISIC_0010073.jpg,191423,191423
ISIC_0006815.jpg,4957608,4957608
ISIC_0013000.jpg,3051112,3051112
ISIC_0014933.jpg,22583814,22583814
ISIC_0000117.jpg,1108818,1108818
ISIC_0012330.jpg,2807957,2807957
ISIC_0000479.jpg,387657,387657
ISIC_0012413.jpg,2538260,2538260
ISIC_0013690.jpg,5337059,5337059
ISIC_0012988.jpg,2381693,2381693
ISIC_0015207.jpg,16406373,16406373
ISIC_0000413.jpg,601322,601322
ISIC_0014136.jpg,4712804,4712804
ISIC_0013573.jpg,4230229,4230229
ISIC_0015110.jpg,19382876,19382876
ISIC_0013219.jpg,2268083,2268083
ISIC_0010177.jpg,154361,154361
ISIC_0013072.jpg,2532537,2532537
ISIC_0011115.jpg,178413,178413
ISIC_0013862.jpg,5219054,5219054
ISIC_0014151.jpg,3526857,3526857
ISIC_0000149.jpg,1022979,1022979
ISIC_0010010.jpg,174015,174015
ISIC_0012156.jpg,2741891,2741891
ISIC_0012391.jpg,2398678,2398678
ISIC_0002353.jpg,2666051,2666051
ISIC_0000058.jpg,86858,86858
ISIC_0013747.jpg,5347029,5347029
ISIC_0013369.jpg,5231225,5231225
ISIC_0010864.jpg,196945,196945
ISIC_0000439.jpg,854836,854836
ISIC_0013863.jpg,5258009,5258009
ISIC_0009940.jpg,166350,166350
ISIC_0010043.jpg,53030,53030
ISIC_0000256.jpg,141762,141762
ISIC_0009035.jpg,4965118,4965118
ISIC_0014708.jpg,18627854,18627854
ISIC_0012969.jpg,2735161,2735161
ISIC_0000159.jpg,49081,49081
ISIC_0011373.jpg,296850,296850
ISIC_0000061.jpg,85973,85973
ISIC_0015958.jpg,3844545,3844545
ISIC_0003539.jpg,2964597,2964597
ISIC_0009981.jpg,196370,196370
ISIC_0009898.jpg,63735,63735
ISIC_0014724.jpg,13837812,13837812
ISIC_0013929.jpg,5140599,5140599
ISIC_0013673.jpg,2559258,2559258
ISIC_0002287.jpg,2459236,2459236
ISIC_0015158.jpg,14693155,14693155
ISIC_0000133.jpg,1361658,1361658
ISIC_0000140.jpg,1119870,1119870
ISIC_0000054.jpg,84382,84382
ISIC_0014940.jpg,21500763,21500763
ISIC_0007241.jpg,2875992,2875992
ISIC_0012879.jpg,2614379,2614379
ISIC_0012442.jpg,2685130,2685130
ISIC_0009992.jpg,259347,259347
ISIC_0013921.jpg,2978809,2978809
ISIC_0013428.jpg,4793817,4793817
ISIC_0000245.jpg,122291,122291
ISIC_0010092.jpg,170108,170108
ISIC_0014775.jpg,19209346,19209346
ISIC_0010562.jpg,148787,148787
ISIC_0014697.jpg,16790663,16790663
ISIC_0014581.jpg,1243105,1243105
ISIC_0000444.jpg,898867,898867
ISIC_0015295.jpg,21230960,21230960
ISIC_0010552.jpg,62036,62036
ISIC_0015368.jpg,13091755,13091755
ISIC_0011383.jpg,141377,141377
ISIC_0009901.jpg,209992,209992
ISIC_0013010.jpg,2618652,2618652
ISIC_0014225.jpg,3724301,3724301
ISIC_0013277.jpg,2577341,2577341
