Filename,Dimension Duplicate,Dimension Original
ISIC_0026116.jpg,"(450, 450)","(600, 450)"
ISIC_0013178_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0000323.jpg,"(576, 576)","(767, 576)"
ISIC_0030231.jpg,"(450, 450)","(600, 450)"
ISIC_0031430.jpg,"(450, 450)","(600, 450)"
ISIC_0029365.jpg,"(450, 450)","(600, 450)"
ISIC_0011329.jpg,"(768, 768)","(1024, 768)"
ISIC_0012836_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0008507_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0030664.jpg,"(450, 450)","(600, 450)"
ISIC_0033864.jpg,"(450, 450)","(600, 450)"
ISIC_0029530.jpg,"(450, 450)","(600, 450)"
ISIC_0030057.jpg,"(450, 450)","(600, 450)"
ISIC_0031364.jpg,"(450, 450)","(600, 450)"
ISIC_0006815_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0026371.jpg,"(450, 450)","(600, 450)"
ISIC_0031832.jpg,"(450, 450)","(600, 450)"
ISIC_0010002.jpg,"(768, 768)","(1024, 768)"
ISIC_0030310.jpg,"(450, 450)","(600, 450)"
ISIC_0027130.jpg,"(450, 450)","(600, 450)"
ISIC_0029386.jpg,"(450, 450)","(600, 450)"
ISIC_0027486.jpg,"(450, 450)","(600, 450)"
ISIC_0009889.jpg,"(768, 768)","(1024, 768)"
ISIC_0030885.jpg,"(450, 450)","(600, 450)"
ISIC_0026710.jpg,"(450, 450)","(600, 450)"
ISIC_0028118.jpg,"(450, 450)","(600, 450)"
ISIC_0029758.jpg,"(450, 450)","(600, 450)"
ISIC_0025498.jpg,"(450, 450)","(600, 450)"
ISIC_0000034_downsampled.jpg,"(768, 768)","(1024, 768)"
ISIC_0026427.jpg,"(450, 450)","(600, 450)"
ISIC_0030477.jpg,"(450, 450)","(600, 450)"
ISIC_0026279.jpg,"(450, 450)","(600, 450)"
ISIC_0027144.jpg,"(450, 450)","(600, 450)"
ISIC_0031970.jpg,"(450, 450)","(600, 450)"
ISIC_0030393.jpg,"(450, 450)","(600, 450)"
ISIC_0014347_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0028466.jpg,"(450, 450)","(600, 450)"
ISIC_0014317_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0027966.jpg,"(450, 450)","(600, 450)"
ISIC_0028596.jpg,"(450, 450)","(600, 450)"
ISIC_0028932.jpg,"(450, 450)","(600, 450)"
ISIC_0015941_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0033458.jpg,"(450, 450)","(600, 450)"
ISIC_0034068.jpg,"(450, 450)","(600, 450)"
ISIC_0033510.jpg,"(450, 450)","(600, 450)"
ISIC_0028924.jpg,"(450, 450)","(600, 450)"
ISIC_0033859.jpg,"(450, 450)","(600, 450)"
ISIC_0029715.jpg,"(450, 450)","(600, 450)"
ISIC_0026564.jpg,"(450, 450)","(600, 450)"
ISIC_0031875.jpg,"(450, 450)","(600, 450)"
ISIC_0032382.jpg,"(450, 450)","(600, 450)"
ISIC_0014715_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0027538.jpg,"(450, 450)","(600, 450)"
ISIC_0027884.jpg,"(450, 450)","(600, 450)"
ISIC_0027868.jpg,"(450, 450)","(600, 450)"
ISIC_0033676.jpg,"(450, 450)","(600, 450)"
ISIC_0027935.jpg,"(450, 450)","(600, 450)"
ISIC_0025258.jpg,"(450, 450)","(600, 450)"
ISIC_0025670.jpg,"(450, 450)","(600, 450)"
ISIC_0028325.jpg,"(450, 450)","(600, 450)"
ISIC_0025982.jpg,"(450, 450)","(600, 450)"
ISIC_0028156.jpg,"(450, 450)","(600, 450)"
ISIC_0028899.jpg,"(450, 450)","(600, 450)"
ISIC_0026542.jpg,"(450, 450)","(600, 450)"
ISIC_0028671.jpg,"(450, 450)","(600, 450)"
ISIC_0028418.jpg,"(450, 450)","(600, 450)"
ISIC_0028002.jpg,"(450, 450)","(600, 450)"
ISIC_0026348.jpg,"(450, 450)","(600, 450)"
ISIC_0026069.jpg,"(450, 450)","(600, 450)"
ISIC_0012719_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0016051_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0012965_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0028980.jpg,"(450, 450)","(600, 450)"
ISIC_0026970.jpg,"(450, 450)","(600, 450)"
ISIC_0000211.jpg,"(674, 674)","(962, 674)"
ISIC_0031987.jpg,"(450, 450)","(600, 450)"
ISIC_0026939.jpg,"(450, 450)","(600, 450)"
ISIC_0030232.jpg,"(450, 450)","(600, 450)"
ISIC_0014727_downsampled.jpg,"(684, 684)","(1024, 684)"
ISIC_0031153.jpg,"(450, 450)","(600, 450)"
ISIC_0029473.jpg,"(450, 450)","(600, 450)"
ISIC_0031517.jpg,"(450, 450)","(600, 450)"
ISIC_0032215.jpg,"(450, 450)","(600, 450)"
ISIC_0030024.jpg,"(450, 450)","(600, 450)"
ISIC_0029001.jpg,"(450, 450)","(600, 450)"
ISIC_0026868.jpg,"(450, 450)","(600, 450)"
ISIC_0013747_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0030854.jpg,"(450, 450)","(600, 450)"
ISIC_0025956.jpg,"(450, 450)","(600, 450)"
ISIC_0009994.jpg,"(768, 768)","(1024, 768)"
ISIC_0033785.jpg,"(450, 450)","(600, 450)"
ISIC_0029629.jpg,"(450, 450)","(600, 450)"
ISIC_0027660.jpg,"(450, 450)","(600, 450)"
ISIC_0025463.jpg,"(450, 450)","(600, 450)"
ISIC_0027419.jpg,"(450, 450)","(600, 450)"
ISIC_0025180.jpg,"(450, 450)","(600, 450)"
ISIC_0033048.jpg,"(450, 450)","(600, 450)"
ISIC_0029885.jpg,"(450, 450)","(600, 450)"
ISIC_0024937.jpg,"(450, 450)","(600, 450)"
ISIC_0027315.jpg,"(450, 450)","(600, 450)"
ISIC_0031723.jpg,"(450, 450)","(600, 450)"
ISIC_0027800.jpg,"(450, 450)","(600, 450)"
ISIC_0026881.jpg,"(450, 450)","(600, 450)"
ISIC_0025537.jpg,"(450, 450)","(600, 450)"
ISIC_0024705.jpg,"(450, 450)","(600, 450)"
ISIC_0028768.jpg,"(450, 450)","(600, 450)"
ISIC_0012806_downsampled.jpg,"(684, 684)","(1024, 685)"
ISIC_0025617.jpg,"(450, 450)","(600, 450)"
ISIC_0027714.jpg,"(450, 450)","(600, 450)"
ISIC_0031699.jpg,"(450, 450)","(600, 450)"
ISIC_0030191.jpg,"(450, 450)","(600, 450)"
ISIC_0031554.jpg,"(450, 450)","(600, 450)"
ISIC_0011357.jpg,"(768, 768)","(1024, 768)"
ISIC_0013782_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0030309.jpg,"(450, 450)","(600, 450)"
ISIC_0028752.jpg,"(450, 450)","(600, 450)"
ISIC_0014434_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0024662.jpg,"(450, 450)","(600, 450)"
ISIC_0026541.jpg,"(450, 450)","(600, 450)"
ISIC_0025257.jpg,"(450, 450)","(600, 450)"
ISIC_0012828_downsampled.jpg,"(684, 684)","(1024, 685)"
ISIC_0014910_downsampled.jpg,"(682, 682)","(1024, 682)"
ISIC_0031918.jpg,"(450, 450)","(600, 450)"
ISIC_0031297.jpg,"(450, 450)","(600, 450)"
ISIC_0031535.jpg,"(450, 450)","(600, 450)"
ISIC_0027981.jpg,"(450, 450)","(600, 450)"
ISIC_0030298.jpg,"(450, 450)","(600, 450)"
ISIC_0015043_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0031870.jpg,"(450, 450)","(600, 450)"
ISIC_0025995.jpg,"(450, 450)","(600, 450)"
ISIC_0000524.jpg,"(802, 802)","(919, 802)"
ISIC_0013132_downsampled.jpg,"(680, 680)","(1024, 680)"
ISIC_0031619.jpg,"(450, 450)","(600, 450)"
ISIC_0032510.jpg,"(450, 450)","(600, 450)"
ISIC_0025391.jpg,"(450, 450)","(600, 450)"
ISIC_0015156_downsampled.jpg,"(680, 680)","(1024, 681)"
ISIC_0031787.jpg,"(450, 450)","(600, 450)"
ISIC_0026095.jpg,"(450, 450)","(600, 450)"
ISIC_0000155_downsampled.jpg,"(768, 768)","(1024, 768)"
ISIC_0024460.jpg,"(450, 450)","(600, 450)"
